                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3714,                 1.8691,                 1.6213,                  1.169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 87.353,                      0,             0.00066504,             0.00066504,             0.00066504
                      2,                 1.0938,                 1.3607,                0.96312,                 1.0229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 155.51,                      0,             0.00067251,             0.00067251,             0.00067251
